"AtomID","path","action","existed","from","to"
"111708_1749217464_1_4032059#1749677227#24487#Rest","Who","Field removed",TRUE,NA,NA
"111710_1749218067_1_4032059#1749855848#31582#Rest","Who","Field removed",TRUE,NA,NA
"111705_1749224532_1_4032059#1749764308#33260#Rest","What","Field removed",TRUE,NA,NA
"111853_1749724462_1_4032059#1750124428#21065#Rest","When","Field removed",TRUE,NA,NA
"111705_1749224532_1_4032059#1750086869#9308#Rest","When.Duration","Field removed",TRUE,NA,NA
"111706_1749476168_1_4032059#1750568936#55525#Wake","When","Field removed",TRUE,NA,NA
"111706_1749476168_1_4032059#1750106171#28456#Rest","What","Field removed",TRUE,NA,NA
"110864_1749729228_1_4032059#1749966288#73162#Wake","What","Field removed",TRUE,NA,NA
"111706_1749476168_1_4032059#1750047494#58677#Wake","What","Field removed",TRUE,NA,NA
"111706_1749476168_1_4032059#1750307463#62328#Wake","Header.AtomVersion","Field removed",TRUE,NA,NA
"111854_1750412601_1_4032059#1751166640#7069#Rest","When.TimeUTC","Field removed",TRUE,NA,NA
"111708_1749217464_1_4032059#1749528909#64117#Wake","When.TimeUTC","Field removed",TRUE,NA,NA
"111707_1749218555_1_4032059#1749215455#28541#Wake","Who","Field removed",TRUE,NA,NA
"111710_1749218067_1_4032059#1750052419#65608#Wake","What","Type change",TRUE,"list","integer"
"111854_1750412601_1_4032059#1750998995#11317#Rest","What.Label","Type change",TRUE,"list","integer"
"110864_1749729228_1_4032059#1750300417#10855#Rest","What.Label","Type change",TRUE,"list","integer"
"111854_1750412601_1_4032059#1750734985#88311#Wake","When.UTCOffset","Type change",TRUE,"integer","character"
"110864_1749729228_1_4032059#1750571271#49642#Wake","What","Type change",TRUE,"list","integer"
"111707_1749218555_1_4032059#1749935195#32886#Rest","Who","Type change",TRUE,"list","integer"
"111853_1749724462_1_4032059#1749927650#14704#Wake","What.Label","Type change",TRUE,"list","integer"
"111854_1750412601_1_4032059#1750906067#12045#Rest","When.TimeUTC","Type change",TRUE,"integer","character"
"111705_1749224532_1_4032059#1749503183#30477#Rest","Header.AtomVersion","Type change",TRUE,"character","integer"
"111707_1749218555_1_4032059#1749886341#48854#Wake","When.UTCOffset","Type change",TRUE,"integer","character"
"111707_1749218555_1_4032059#1750113243#27040#Rest","When.Duration","Type change",TRUE,"integer","character"
"111710_1749218067_1_4032059#1749972510#55676#Wake","Who","Type change",TRUE,"list","integer"
"111705_1749224532_1_4032059#1749363876#53729#Wake","Header.AtomVersion","Type change",TRUE,"character","integer"
