"AtomID","path","action","existed","from","to"
"110864_1749729228_1_4032059#1750300417#10855#Rest","When.TimeUTC","Temporal gap",TRUE,"57899","3601"
"110864_1749729228_1_4032059#1750369171#31634#Rest","When.TimeUTC","Temporal gap",TRUE,"57899","3601"
"111707_1749218555_1_4032059#1749886341#48854#Wake","When.TimeUTC","Temporal gap",TRUE,"32886","3601"
"111707_1749218555_1_4032059#1749968081#60880#Wake","When.TimeUTC","Temporal gap",TRUE,"32886","3601"
"111708_1749217464_1_4032059#1749408710#37630#Rest","When.TimeUTC","Temporal gap",TRUE,"58108","3601"
"111708_1749217464_1_4032059#1749504448#24461#Rest","When.TimeUTC","Temporal gap",TRUE,"58108","3601"
"111853_1749724462_1_4032059#1750358101#4711#Wake","When.TimeUTC","Temporal gap",TRUE,"75535","3601"
"111853_1749724462_1_4032059#1750438347#3180#Wake","When.TimeUTC","Temporal gap",TRUE,"75535","3601"
"111708_1749217464_1_4032059#1750197262#24658#Rest","When.TimeUTC","Temporal gap",TRUE,"60826","3601"
"111708_1749217464_1_4032059#1750282746#13251#Rest","When.TimeUTC","Temporal gap",TRUE,"60826","3601"
"111710_1749218067_1_4032059#1749420883#27062#Rest","When.TimeUTC","Temporal gap",TRUE,"63039","3601"
"111710_1749218067_1_4032059#1749510984#25965#Rest","When.TimeUTC","Temporal gap",TRUE,"63039","3601"
"111706_1749476168_1_4032059#1749878901#52828#Wake","When.TimeUTC","Temporal gap",TRUE,"32030","3601"
"111706_1749476168_1_4032059#1749963759#56984#Wake","When.TimeUTC","Temporal gap",TRUE,"32030","3601"
"111710_1749218067_1_4032059#1749770927#23889#Rest","When.TimeUTC","Temporal gap",TRUE,"61032","3601"
"111710_1749218067_1_4032059#1749855848#31582#Rest","When.TimeUTC","Temporal gap",TRUE,"61032","3601"
"111705_1749224532_1_4032059#1749852129#26877#Rest","When.TimeUTC","Temporal gap",TRUE,"61376","3601"
"111705_1749224532_1_4032059#1749940382#25932#Rest","When.TimeUTC","Temporal gap",TRUE,"61376","3601"
"111706_1749476168_1_4032059#1750047494#58677#Wake","When.TimeUTC","Temporal gap",TRUE,"28456","3601"
"111706_1749476168_1_4032059#1750134627#60332#Wake","When.TimeUTC","Temporal gap",TRUE,"28456","3601"
"111706_1749476168_1_4032059#1750020743#26751#Rest","When.TimeUTC","Temporal gap",TRUE,"87133","3601"
"111706_1749476168_1_4032059#1750134627#60332#Wake","When.TimeUTC","Temporal gap",TRUE,"87133","3601"
"111708_1749217464_1_4032059#1749701714#63065#Wake","When.TimeUTC","Temporal gap",TRUE,"25898","3601"
"111708_1749217464_1_4032059#1749790677#60658#Wake","When.TimeUTC","Temporal gap",TRUE,"25898","3601"
"111705_1749224532_1_4032059#1749710039#54269#Wake","When.TimeUTC","Temporal gap",TRUE,"33260","3601"
"111705_1749224532_1_4032059#1749797568#54561#Wake","When.TimeUTC","Temporal gap",TRUE,"33260","3601"
"111706_1749476168_1_4032059#1749676394#25750#Rest","When.TimeUTC","Temporal gap",TRUE,"58218","3601"
"111706_1749476168_1_4032059#1749760362#28732#Rest","When.TimeUTC","Temporal gap",TRUE,"58218","3601"
"111705_1749224532_1_4032059#1749444905#58278#Wake","When.TimeUTC","Temporal gap",TRUE,"30477","3601"
"111705_1749224532_1_4032059#1749533660#55484#Wake","When.TimeUTC","Temporal gap",TRUE,"30477","3601"
"111853_1749724462_1_4032059#1750443707#11064#Wake","When.TimeUTC","Temporal gap",TRUE,"148453","3601"
"111853_1749724462_1_4032059#1750603224#234#Wake","When.TimeUTC","Temporal gap",TRUE,"148453","3601"
"111854_1750412601_1_4032059#1751083690#12815#Rest","When.TimeUTC","Temporal gap",TRUE,"70135","3601"
"111854_1750412601_1_4032059#1751166640#7069#Rest","When.TimeUTC","Temporal gap",TRUE,"70135","3601"
"110864_1749729228_1_4032059#1750126069#26003#Rest","When.TimeUTC","Temporal gap",TRUE,"65811","3601"
"110864_1749729228_1_4032059#1750217883#28914#Rest","When.TimeUTC","Temporal gap",TRUE,"65811","3601"
"111706_1749476168_1_4032059#1749760362#28732#Rest","When.TimeUTC","Temporal gap",TRUE,"55894","3601"
"111706_1749476168_1_4032059#1749844988#33913#Rest","When.TimeUTC","Temporal gap",TRUE,"55894","3601"
"111853_1749724462_1_4032059#1749767569#34041#Rest","When.TimeUTC","Temporal gap",TRUE,"31240","3601"
"111853_1749724462_1_4032059#1749832850#7472#Rest","When.TimeUTC","Temporal gap",TRUE,"31240","3601"
"111705_1749224532_1_4032059#1749680063#29976#Rest","When.TimeUTC","Temporal gap",TRUE,"87529","3601"
"111705_1749224532_1_4032059#1749797568#54561#Wake","When.TimeUTC","Temporal gap",TRUE,"87529","3601"
"111854_1750412601_1_4032059#1751010312#73378#Wake","When.TimeUTC","Temporal gap",TRUE,"82950","3601"
"111854_1750412601_1_4032059#1751166640#7069#Rest","When.TimeUTC","Temporal gap",TRUE,"82950","3601"
"111707_1749218555_1_4032059#1750197641#29194#Rest","When.TimeUTC","Temporal gap",TRUE,"59692","3601"
"111707_1749218555_1_4032059#1750286527#29158#Rest","When.TimeUTC","Temporal gap",TRUE,"59692","3601"
"110864_1749729228_1_4032059#1750658038#56614#Wake","When.TimeUTC","Temporal gap",TRUE,"28091","3601"
"110864_1749729228_1_4032059#1750742743#58020#Wake","When.TimeUTC","Temporal gap",TRUE,"28091","3601"
"111706_1749476168_1_4032059#1749760362#28732#Rest","When.TimeUTC","Temporal gap",TRUE,"55894","3601"
"111706_1749476168_1_4032059#1749844988#33913#Rest","When.TimeUTC","Temporal gap",TRUE,"55894","3601"
"111707_1749218555_1_4032059#1750113243#27040#Rest","When.TimeUTC","Temporal gap",TRUE,"57358","3601"
"111707_1749218555_1_4032059#1750197641#29194#Rest","When.TimeUTC","Temporal gap",TRUE,"57358","3601"
